x,y,low,high
0.3221,0.6089,0.5352,0.6705
1.4195,0.6494,0.5849,0.7268
2.4619,0.7096,0.6391,0.7942
3.5041,0.8006,0.7153,0.9106
4.5463,0.9255,0.8403,1.0442
5.4787,1.0784,0.9792,1.2168
6.4112,1.2071,1.1049,1.3511
7.5084,1.3403,1.217,1.4644
8.331,1.5745,1.4296,1.7908
9.483,1.7766,1.5873,1.9409
10.4704,1.9886,1.8349,2.2079
11.4576,2.3739,2.121,2.5936
12.4449,2.7662,2.4715,2.998
13.4323,3.0715,2.8113,3.4102
14.3651,3.2236,2.8801,3.5791
15.5175,3.2762,3.072,3.6965
16.3409,3.1472,2.904,3.551
17.3837,3.0972,2.8122,3.3839
18.3721,2.7233,2.4727,3.0727
19.5248,2.5952,2.3563,2.8582
20.5678,2.3565,2.1569,2.6375
21.4464,2.1398,1.9428,2.3757
22.4346,1.9586,1.8218,2.2099
23.4229,1.7501,1.6543,2.0067
24.4658,1.7085,1.5513,1.9123
25.5088,1.6021,1.4546,1.7646
26.4969,1.4665,1.3751,1.668
27.4849,1.4549,1.2999,1.6284
28.4732,1.3105,1.2288,1.4906
29.4061,1.3319,1.2093,1.5027
30.504,1.2489,1.1249,1.3867
31.492,1.1998,1.072,1.3003
32.5349,1.1433,1.0465,1.2797
33.5228,1.1342,1.0466,1.2901
34.5108,1.0896,0.9657,1.2294
35.3892,1.03,0.9203,1.1163
36.4323,0.9203,0.8424,1.0724
37.4202,0.9203,0.8493,1.0385
38.3533,0.8913,0.8028,0.9896
39.5059,0.8772,0.7837,0.9661
40.439,0.8495,0.7774,0.9506
41.4822,0.759,0.7003,0.8702
42.3599,0.8293,0.7349,0.9207
43.3482,0.753,0.6783,0.8429
44.3361,0.7351,0.6675,0.8228
45.3244,0.6622,0.611,0.7471
46.3672,0.6622,0.5917,0.7471
47.355,0.673,0.587,0.7473
48.4527,0.6465,0.5684,0.7178
49.4405,0.6518,0.5685,0.7064
50.4289,0.5871,0.5331,0.6623
51.4717,0.5777,0.5204,0.6572
52.4595,0.5872,0.5332,0.6416
